분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,출처
TDD Test Driven Development,TDD로 배우는 웹 프론트엔드,중급자,"₩99,000",,3.5 hours on-demand video,"What you'll learn
TDD적인 사고 방식으로 해결하고자 하는 문제의 핵심부터 생각할 수 있습니다.
당장 해결하기 어려운 문제를 작게 나누어 정복할 수 있습니다.
내가 작성한 코드에 대해 테스트 코드로 빠른 피드백을 받을 수 있습니다.
위 학습 목표를 웹 프론트엔드의 기초인 HTML, CSS, JavaScript로 작성할 수 있습니다.
Cypress를 이용하여 프론트엔드 웹 애플리케이션에 대한 테스트를 할 수 있습니다.",https://www.udemy.com/course/tdd-for-frontend/
Spring MVC,만들면서 배우는 Spring MVC 5,중급자,"₩39,000",,29.5 hours on-demand video,"What you'll learn
Spring MVC에서 제공하는 다양한 기능을 활용해 웹 애플리케이션을 개발하는 방법을 학습하게 됩니다.
Spring MVC는 XML과 Java로 셋팅하는 방식 두가지가 제공되는데 본 강좌에서는 두 가지 모두 소개하고 있습니다.
Spring MVC의 다양한 기능부터 이를 모두 활용한 미니프로젝트까지 수행하게 됩니다.",https://www.udemy.com/course/spring-mvc5/
Microsoft Azure,【한글자막】 Azure Functions 및 Logic Apps 을 통한 서버리스 컴퓨팅,초급자,"₩17,000","₩59,000",2 hours on-demand video,"What you'll learn
‘서버리스’의 의미를 알아봅니다.
Azure 플랫폼의 어떤 기능이 서버리스에 해당하는지 배웁니다.
트리거, 입력 바인딩, 출력 바인딩을 익힙니다.
직접 Azure 함수와 로직 앱을 구축할 수 있는 자신감을 기릅니다.",https://www.udemy.com/course/best-azure-serverless/
Bootstrap,Bootstrap 4 & 3 Framework Tutorial 윤재성,모든 수준,"₩23,000",,10 hours on-demand video,"What you'll learn
본 과정은 jQuery 라이브러리를 기반으로 만들어진 BootStrap에 대한 강좌입니다.
BootStrap은 HTML5 기반의 웹 프레임워크로써 Front End 개발을 위한 각종 UI 요소들을 손쉽게 사용할 수 있도록 만들어진 라이브러리입니다.
오늘날 가장 많이 사용하고 있으며 웹 퍼블리셔나 디자이너들도 BootStrap 라이브러를 적용하고 수정하여 Front End 개발을 하고 있습니다
약간에 프로그래밍 만으로 멋진 웹 애플리케이션을 개발할 수 있습니다.
본 강좌를 마치면 바로 Front End 개발을 손쉽게 하실 수 있습니다.",https://www.udemy.com/course/softampus-bootstrap4/
HTML,[실전웹사이트제작(초.중급)]따라하면서 쉽게 배우는 반응형 웹-크루알라모드제작,초급자,"₩17,000","₩69,000",3 hours on-demand video,"What you'll learn
실무에 적합한 레이아웃 제작 방법
풀사이즈 동영상이 들어간 반응형 웹사이트 제작 방법
스크롤 애니메이션 적용 방법
스크롤시 디자인이 변경되는 헤더와 이미지 애니메이션
글자별 텍스트 애니메이션
GNB 오픈메뉴 제작 방법",https://www.udemy.com/course/atwyzbcg/
React JS,【한글자막】 고급 React 테스팅: Redux Saga 및 React Router,전문가,"₩17,000","₩69,000",7 hours on-demand video,"What you'll learn
redux-saga-test-plan 통합 및 단위 테스트로 Redux Sagas 테스트하기
Redux store와 React Router history를 위한 사용자 지정 React 테스팅 라이브러리인 ‘render’ 메서드 생성하기
URL 매개변수와 쿼리 매개변수가 있는 경로를 포함한 React Router 탐색 테스트하기
React Router를 사용한 React 앱에서 인증 보호된 경로 테스트하기
테스트 중 모의 (mock) 네트워크 응답을 위해 Mock Service Worker 사용하기
Jest의 .each() 메서드를 사용하여 테스트 매개변수화 (동일한 테스트를 다른 데이터로 여러 번 실행하기)",https://www.udemy.com/course/react-redux-saga-react-router/
MEAN Stack,【한글자막】 Angular & NodeJS - MEAN 스택 가이드,모든 수준,"₩17,000","₩79,000",12.5 hours on-demand video,"What you'll learn
실제 Angular + NodeJS 애플리케이션 구축
Angular의 원리와 Angular가 백엔드와 상호 작용하는 방식 이해
NodeJS 백엔드와 모든 Angular 프론트엔드 연결
Mongoose와 함께 MongoDB를 사용하여 백엔드의 데이터와 상호 작용
ExpressJS를 NodeJS 프레임워크로 사용
프론트엔드에서 낙관적 업데이트를 사용하여 훌륭한 사용자 경험 제공
오류 처리를 추가하여 모든 Angular(+NodeJS) 애플리케이션을 개선",https://www.udemy.com/course/angular-nodejs-mean-2022/
CSS,[실전 웹사이트제작(초.중급)]따라하면서 쉽게 배우는 인터렉티브웹 _ 라한호텔 사이트제작,초급자,"₩17,000","₩69,000",4 hours on-demand video,"What you'll learn
HTML Markup
CSS Style
스크롤 시 디자인이 변경되는 FixHeader jQuery
스크롤 이벤트 애니메이션 jQuery(scrolla js) 활용과 응용
애니메이션이 들어간 이미지 슬라이드 jQuery(slick js) 활용과 응용
Open 버튼 클릭 시 나타나는 GNB navBar 제작하기",https://www.udemy.com/course/_-bgqqwt/
CSS,"[실전 웹사이트제작(초,중급)]따라하면서 쉽게 배우는 인터렉티브웹_뮤자인반응형웹",초급자,"₩17,000","₩23,000",5 hours on-demand video,"What you'll learn
HTML과 CSS를 기반으로 한 레이아웃 제작 실력을 얻을 수 있습니다.
다양한 디바이스에 최적화된 반응형웹 퍼블리싱 (Media query)을 할 수 있게됩니다.
실무에서 필요로 하는 스크립트, 플러그인, 애니메이션 등을 인터렉티브한 웹사이트를 구현할 수 있습니다.
업무 역량을 드러내고 새로운 기회를 잡을 수 있는 고퀄리티 포트폴리오를 만들 수 있습니다.
SVG Animation을 제작할 수 있습니다.
스크롤에 반응하는 애니메이션을 구현할 수 있습니다.
화려한 텍스트 애니메이션을 구현할 수 있습니다.",https://www.udemy.com/course/_-qropvl/
CSS,"초보자를 위한 반응형 웹 (HTML, CSS)",초급자,"₩17,000","₩59,000",2 hours on-demand video,"What you'll learn
웹 페이지 기본 구조 이해
반응형 웹 UI 이해
jQuery load를 이용한 UI 구성
jQuery 선택자와 클릭 이벤트 개념 이해",https://www.udemy.com/course/responsive-web/
Sass,실무자를 위한 Sass (CSS 프리프로세서),초급자,"₩17,000","₩23,000",2 hours on-demand video,"What you'll learn
CSS 프리프로세서(전처리기) 이해
프로그래밍 언어 기본 개념 이해
기존 CSS 문법과 비교하여 차이점 숙지
기존 CSS에서 제공하지 않는 완성도 높은 기능 구현",https://www.udemy.com/course/css-preprocessor/
Spring Boot,스프링부트 2.0(스프링 5.0)으로 작성하는 RESTful API 서비스,모든 수준,"₩109,000",,5 hours on-demand video,"What you'll learn
최신 스프링부트 2.0의 어노테이션 사용법을 익힌다.
Google, Amazon, Flickr, Tweeter와 같은 Open Source 업체 및 공공기관의 연동에 필요한 REST API의 개발 방법을 학습한다.
REST API를 통한 데이터 연동간 보안 인증 방법을 학습한다.
REST API를 통한 예외 처리 기법을 학습한다.",https://www.udemy.com/course/restful-api_hihrd/
CSS,"[실전 웹사이트제작(초,중급)]따라하면서 쉽게 배우는 인터렉티브웹_대방산업사이트",초급자,"₩17,000","₩23,000",5 hours on-demand video,"What you'll learn
마우스 오버시 2depth가 보여지는 GNB jQuery
스크롤시 디자인이 변경되는 FixHeader jQuery
텍스트 애니메이션 jQuery활용과 응용
스크롤 이벤트 애니메이션 jQuery 활용과 응용
애니메이션이 들어간 이미지슬라이드 jQuery활용과 응용",https://www.udemy.com/course/_-kkihru/
CSS,"[실전 웹사이트제작(초급)]따라하면서 쉽게 배우는 HTML,CSS_한국소비자원사이트제작",초급자,"₩17,000","₩39,000",2 hours on-demand video,"What you'll learn
웹페이지 레이아웃 제작
CSS Animation제작
Hover효과
Transform효과
Transition효과
가상콘텐츠 사용법
개발자도구 사용법",https://www.udemy.com/course/htmlcss_/
HTML,[실전웹사이트제작(초급)]따라하면서 쉽게 배우는 레이아웃제작 -돕다사이트제작,초급자,"₩17,000","₩39,000",2 hours on-demand video,"What you'll learn
HTML, CSS 기초
CSS 기초 문법
HTML, CSS 레이아웃 디자인
Position 개념에 대한 이해와 적용
가상선택자 이해와 적용
Float 개념 이해와 적용
웹사이트 레이아웃 제작 이해와 적용
CSS Animation 적용
스크롤 시 디자인이 변경되는 FixHeader jQuery
스크롤 이벤트 애니메이션 jQuery(scrolla .js) 활용과 응용
애니메이션이 들어간 이미지 슬라이드 (slick. js) 활용과 응용
Open 버튼 클릭 시 나타나는 GNB navBar 제작하기",https://www.udemy.com/course/flduilug/
HTML,[생활코딩] WEB - HTML & Internet 기초 #1,초급자,무료,,,,https://www.udemy.com/course/web-html-internet-1/
Docker,[생활코딩] 도커(Docker) 기초,초급자,무료,,,,https://www.udemy.com/course/docker-ky/
Django,[생활코딩] WEB - Python - Django Web Framework,초급자,무료,,,,https://www.udemy.com/course/web-python-django-web-framework/
Flask,[생활코딩] WEB - Python - Flask Web Framework,초급자,무료,,,,https://www.udemy.com/course/web-python-flask-web-framework/
HTML,[생활코딩] WEB - HTML & Internet 기초 #2,초급자,무료,,,,https://www.udemy.com/course/web-html-internet-2/
ReactVR,[생활코딩] WEB - JavaScript - React (*2022 개정판),초급자,무료,,,,https://www.udemy.com/course/web-javascript-react-2022/
PHP,[생활코딩] WEB - PHP 기초 #1,초급자,무료,,,,https://www.udemy.com/course/web-php-1/
OAuth,[생활코딩] WEB - OAuth 2.0,모든 수준,무료,,,,https://www.udemy.com/course/web-oauth-20/
AJAX,[생활코딩] WEB - JavaScript - Ajax,모든 수준,무료,,,,https://www.udemy.com/course/web-javascript-ajax/
Redux Framework,"[생활코딩] WEB - JavaScript - Redux #이론,적용편",모든 수준,무료,,,,https://www.udemy.com/course/web-javascript-redux/
Front End Web Development,우아한 테크코스 테코톡 프론트엔드편,모든 수준,무료,,,,https://www.udemy.com/course/woowahan_2/
